Name,Start,End,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,wRC+,BsR,Off,Def,WAR,playerid,Used
Juan Beniquez,,,1500,5151,79,610,476,104,6.8 %,10.7 %,0.105,0.295,0.274,0.327,0.379,0.32,96,-8.9,-27.3,-34.3,10.9,1000833,N
Tony Bernazard,,,1071,4243,75,523,391,113,10.1 %,14.3 %,0.125,0.293,0.262,0.339,0.387,0.326,100,0.1,0.1,-18.2,12.6,1000889,N
Don Blasingame,,,1444,5938,21,731,308,105,9.3 %,7.8 %,0.069,0.279,0.258,0.329,0.327,0.3,81,0,-135.7,65.5,11.5,1001056,N
Curt Blefary,,,974,3490,112,394,382,24,13.1 %,12.7 %,0.163,0.243,0.237,0.342,0.4,0.334,117,-3,61.1,-54.9,12.1,1001068,N
Ray Boone,,,1373,5297,151,645,737,21,11.5 %,8.7 %,0.154,0.277,0.275,0.361,0.429,0.359,114,-0.2,91.4,2.9,27.2,1001189,N
Larry Bowa,,,2247,9108,15,987,525,318,5.2 %,6.2 %,0.06,0.276,0.26,0.3,0.32,0.282,70,24.6,-291.9,156.6,16.7,1001243,N
Phil Bradley,,,1022,4255,78,565,376,155,10.2 %,16.9 %,0.135,0.336,0.286,0.369,0.421,0.355,120,4.9,104.6,-84.8,16.6,1001313,N
Jackie Brandt,,,1221,4318,112,540,485,45,8.1 %,13.3 %,0.15,0.28,0.262,0.323,0.412,0.326,103,-1.3,13.5,-7.8,13.7,1001349,N
Steve Braun,,,1425,4295,52,466,388,45,13.5 %,10.1 %,0.096,0.294,0.271,0.371,0.367,0.341,113,-0.2,59.1,-36.4,17.2,1001366,N
Bob Brenly,,,871,3002,91,321,333,45,10.6 %,14.6 %,0.155,0.264,0.247,0.33,0.403,0.325,106,-6.9,16.2,5.8,12.5,1001386,N
Eddie Bressoud,,,1186,4106,94,443,365,9,8.7 %,17.6 %,0.149,0.289,0.252,0.319,0.401,0.318,94,-2.1,-34.1,53,15.3,1001397,N
Johnny Briggs,,,1366,4837,139,601,507,64,13.7 %,16.2 %,0.163,0.28,0.253,0.355,0.416,0.349,121,-4.1,108.2,-64.9,22.2,1001429,N
Ed Brinkman,,,1846,6640,60,550,461,30,6.7 %,12.7 %,0.076,0.25,0.224,0.28,0.3,0.264,64,-5.5,-270.8,183.3,10.3,1001438,N
Scott Brosius,,,1146,4356,141,544,531,57,8.0 %,16.0 %,0.164,0.278,0.257,0.323,0.422,0.326,94,-1.9,-33.8,42.4,15.7,1001477,N
Tom Brunansky,,,1800,7169,271,804,919,69,10.7 %,16.6 %,0.188,0.259,0.245,0.327,0.434,0.337,106,-15.8,29.3,-35.8,23.3,1001589,N
Bill Buckner,,,2517,10037,174,1077,1208,183,4.5 %,4.5 %,0.119,0.287,0.289,0.321,0.408,0.323,97,8.3,-27.6,-120.9,18.8,1001625,N
Steve Buechele,,,1334,4790,137,501,547,17,8.5 %,17.6 %,0.149,0.275,0.245,0.316,0.394,0.318,94,-8.8,-44.3,36.9,15.6,1001630,N
Jay Buhner,,,1472,5927,310,797,965,6,13.4 %,23.7 %,0.24,0.287,0.254,0.359,0.494,0.371,123,-9,167.4,-142.1,22.3,1001638,N
Jeff Burroughs,,,1689,6449,240,720,882,16,12.9 %,17.6 %,0.179,0.285,0.261,0.355,0.439,0.357,121,-4.7,151.1,-192.1,18.2,1001731,N
Ivan Calderon,,,924,3672,104,470,444,97,8.3 %,15.1 %,0.17,0.297,0.272,0.333,0.442,0.341,112,-1.1,48.5,-43.8,12.9,1001825,N
Ken Caminiti,,,1760,7127,239,894,983,88,10.2 %,16.3 %,0.175,0.297,0.272,0.347,0.447,0.345,114,0.3,130.4,3.4,36,1001863,N
Bernie Carbo,,,1010,3320,96,372,358,26,16.2 %,18.4 %,0.163,0.306,0.264,0.387,0.427,0.369,128,-0.8,108.3,-20.6,20.6,1001935,N
Jose Cardenal,,,2017,7696,138,936,775,329,7.9 %,10.5 %,0.12,0.292,0.275,0.333,0.395,0.33,103,16.3,45.4,-90.5,21,1001937,N
Chico Carrasquel,,,1325,5259,55,568,474,31,9.3 %,8.9 %,0.083,0.276,0.258,0.333,0.342,0.314,85,-1.7,-97.4,117.9,19.4,1001984,N
Joe Carter,,,2189,9154,396,1170,1445,231,5.8 %,15.2 %,0.205,0.265,0.259,0.306,0.464,0.334,102,18,30.6,-175.7,17.1,1002018,N
Bob Cerv,,,829,2516,105,320,374,12,8.4 %,15.6 %,0.205,0.291,0.276,0.34,0.481,0.36,120,-0.3,59.3,-25,11.6,1002107,N
Sam Chapman,,,1114,4580,148,620,646,27,10.0 %,11.5 %,0.169,0.276,0.267,0.342,0.436,0.36,105,-8.2,19.2,-10.5,16.8,1002152,N
Ed Charles,,,1005,3909,86,438,421,86,8.5 %,13.4 %,0.134,0.286,0.263,0.33,0.397,0.325,103,5.2,19.1,41.9,19,1002158,N
Horace Clarke,,,1272,5242,27,548,304,151,7.0 %,6.9 %,0.058,0.27,0.256,0.308,0.313,0.285,83,10.4,-84.8,54.1,13,1002287,N
Will Clark,,,1976,8283,284,1186,1205,67,11.3 %,14.4 %,0.193,0.326,0.303,0.384,0.497,0.381,136,-8.1,347.7,-115.9,52,1002318,N
Rocky Colavito,,,1841,7559,374,971,1159,19,12.6 %,11.6 %,0.223,0.255,0.266,0.359,0.489,0.373,132,-3.9,284.2,-35.4,49.2,1002404,N
Nate Colbert,,,1004,3863,173,481,520,52,9.9 %,23.3 %,0.207,0.278,0.243,0.322,0.451,0.344,116,-0.4,72.3,-73.6,13.8,1002407,N
Joe Collins,,,908,2700,86,404,329,27,12.5 %,9.7 %,0.165,0.257,0.256,0.35,0.421,0.353,113,-1.2,40.2,-23.8,10.8,1002456,N
Clint Courtney,,,946,3147,38,260,313,3,8.4 %,4.5 %,0.098,0.27,0.268,0.339,0.366,0.322,92,-3.5,-34.3,35.3,10.5,1002676,N
Willie Crawford,,,1210,3925,86,507,419,47,11.0 %,16.9 %,0.14,0.308,0.268,0.349,0.408,0.342,116,-3.2,67.8,-14,19.6,1002750,N
Joe Cronin,,,475,1685,54,242,288,9,13.5 %,9.9 %,0.195,0.3,0.291,0.39,0.486,0.404,129,-4.8,58.7,-2,11.9,1002796,N
Julio Cruz,,,1156,4438,23,557,279,343,10.8 %,11.4 %,0.061,0.266,0.237,0.321,0.299,0.29,75,38.1,-94,88.4,14.1,1002842,N
Kal Daniels,,,727,2739,104,391,360,87,13.3 %,18.0 %,0.194,0.319,0.285,0.382,0.479,0.381,140,5.8,134.9,-63.8,16.9,1002973,N
Alvin Dark,,,1828,7829,126,1064,757,59,5.5 %,6.8 %,0.122,0.298,0.289,0.333,0.411,0.337,98,4.6,-18.2,120.2,35.6,1002987,N
Darren Daulton,,,1161,4340,137,511,588,50,14.5 %,16.7 %,0.181,0.269,0.245,0.357,0.427,0.348,114,5.3,78,21.7,25,1003010,N
Jim Davenport,,,1501,4981,77,552,456,16,7.7 %,13.5 %,0.109,0.287,0.258,0.318,0.367,0.307,91,-4.8,-54.1,39.9,15.9,1003017,N
Chili Davis,,,2436,9997,350,1240,1372,142,11.9 %,17.0 %,0.177,0.302,0.274,0.36,0.451,0.354,118,-12.9,210.7,-172,37.9,1003041,N
Tommy Davis,,,1999,7739,153,811,1052,136,4.9 %,9.7 %,0.111,0.308,0.294,0.329,0.405,0.327,107,6.9,73.1,-138.4,19.9,1003084,N
Willie Davis,,,2429,9822,182,1217,1053,398,4.3 %,9.9 %,0.133,0.293,0.279,0.311,0.412,0.321,105,32.4,87.7,90.7,53.7,1003088,N
Doug DeCinces,,,1649,6534,237,778,879,58,9.5 %,13.8 %,0.186,0.268,0.259,0.329,0.445,0.342,114,-7,102.1,73.6,40.5,1003123,N
Rob Deer,,,1155,4513,230,578,600,43,12.7 %,31.2 %,0.223,0.275,0.22,0.324,0.442,0.341,110,-4.8,48.4,-57.9,14.3,1003137,N
Don Demeter,,,1109,3730,163,467,563,22,4.8 %,17.6 %,0.195,0.282,0.265,0.307,0.459,0.335,107,-4.6,25.3,-20,13.1,1003193,N
Bo Diaz,,,993,3538,87,327,452,9,5.6 %,12.1 %,0.132,0.268,0.255,0.297,0.387,0.303,86,-5.4,-64.2,67.5,12.3,1003261,N
